      DIRS,      DIRR,      VELS,      VELR,      TEMP,        HR,        PB,      PREC,   RAD-SOL,    TEMPCOMB,     HUMCOMB,     HUMSUBS,    TEMPSUBS
96,92,51.6,72.4,18,53,832.2,0,0,17.3,40,4,25.8
94,92,53.3,74.9,17.9,54,832.3,0,0,17.2,40,4,25.6
98,90,52.5,66.2,17.7,56,832.3,0,0,17,41,4,25.5
98,100,53.4,70.6,17.6,58,832.3,0,0,16.9,41,4,25.4
101,95,53.3,69.8,17.4,60,832.3,0,0,16.7,42,4,25.2
101,103,53.8,74.2,17.3,61,832.4,0,0,16.6,42,4,25.1
102,98,51.4,66.6,17.1,63,832.4,0,0,16.4,43,4,24.9
105,108,48.7,68.8,17,64,832.5,0,0,16.3,44,4,24.9
102,94,49.8,66.6,16.8,65,832.4,0,0,16.1,44,4,24.7
101,97,52.2,65.9,16.6,67,832.4,0,0,16,45,4,24.6
99,98,50.2,67,16.5,68,832.4,0,0,15.8,45,4,24.4
97,102,50.2,64.4,16.2,70,832.3,0,0,15.6,46,3,24.3
94,97,50.5,69.5,16.1,71,832.3,0,0,15.4,47,4,24.2
95,104,52.4,64.1,15.9,72,832.2,0,0,15.3,48,4,24.1
96,100,49.2,63.7,15.8,73,832.2,0,0,15.2,49,4,23.9
95,93,50.1,63.7,15.7,74,832.1,0,0,15.1,49,4,23.9
95,99,49.8,70.9,15.6,76,832.1,0,0,14.9,50,4,23.7
95,91,50,62.6,15.5,76,832,0,0,14.8,51,4,23.7
92,80,48,59.4,15.3,78,831.9,0,0,14.7,52,4,23.7
89,90,43.9,61.2,15.1,79,831.9,0,0,14.5,53,4,23.5
91,88,40.1,56.9,15,81,831.9,0,0,14.3,53,4,23.5
89,91,32.8,50.8,14.7,83,831.9,0,0,14,54,4,23.5
92,81,35,51.1,14.6,84,831.8,0,0,13.9,55,4,23.3
89,87,33.1,52.2,14.5,85,831.8,0,0,13.7,56,4,23.3
91,88,31.2,45.7,14.3,87,831.8,0,0,13.6,57,4,23.3
93,98,28.8,45,14.2,88,831.8,0,0,13.4,58,4,23.2
92,79,29.1,45.4,14.1,89,831.7,0,0,13.3,59,4,23
92,79,26.4,44.3,13.9,91,831.7,0,0,13.2,61,4,23
85,83,27.5,47.2,13.7,93,831.6,0,0,13.1,62,4,23
87,78,29.1,48.2,13.6,94,831.6,0,0,13,63,3,22.9
91,90,25.1,43.2,13.5,96,831.6,0,0,12.9,64,3,22.8
87,83,32.6,44.3,13.4,98,831.5,0,0,12.9,65,3,22.8
96,88,25.4,47.5,13.3,99,831.5,0,0,12.8,67,4,22.8
104,85,23.8,41,13.5,97,831.5,0,0,12.9,68,4,22.6
99,114,26.3,40,13.6,97,831.6,0,0,12.9,70,4,22.6
111,121,16.9,36.4,13.9,90,831.8,0,0,12.7,71,4,22.6
84,89,13.4,24.5,13.5,97,831.9,0,0,12.6,73,4,22.4
48,61,16.4,28.1,13.2,100,831.9,0,0,12.9,74,4,22.4
67,73,16.6,23.8,13.1,100,831.9,0,0,12.8,75,4,22.4
54,65,13.5,20.5,13,100,832,0,0,12.8,77,4,22.4
56,57,15.8,23,13,100,832,0,0,12.8,78,4,22.2
62,70,16.5,21.6,12.8,100,832.1,0,0,12.6,78,4,22.1
20,62,8.5,18.7,12.7,100,832.1,0,0,12.1,80,4,22.1
47,88,6.1,15.8,12.7,100,832.1,0,0,11.8,81,4,22.1
42,40,7.6,13.7,13.1,100,832.1,0,0,11.7,82,4,22
65,85,9.8,16.9,13.9,100,832.2,0,0,11.6,83,3,21.9
58,78,9,13.3,14.3,95,832.3,0,0,11.5,84,4,21.9
78,56,4.3,8.6,14.8,88,832.5,0,0,11.3,85,4,21.9
90,86,10.3,19.1,15.2,84,832.5,0,0,11.6,86,4,21.9
96,107,13.8,20.5,15.3,84,832.5,0,3,11.9,85,4,21.7
108,127,11.4,23.4,15.5,77,832.5,0,16,12.3,86,4,21.7
168,136,9.6,23.4,16.4,65,832.6,0,45,13.3,88,4,21.7
170,142,8.5,18.7,17.6,55,832.6,0,79,14.6,87,4,21.5
172,139,13.5,33.8,18.9,0,832.6,0,115,16.5,86,4,21.5
